title,name,address1,address2,city,state,zip,email,phone
Senator,Patty Murray,154 Russell Senate Office,,Washington,DC,20510,,202-224-2621
Senator,Maria Cantwell,511 Hart Senate Office Bldg.,,Washington,DC,20510,,202-224-3441
Representative,Cathy McMorris Rodgers,1314 Longworth House Office Building,,Washington,DC,20515,,202-225-2006
State Senator,Mark Schoesler,307 Legislative Building,PO Box 40409,Olympia,WA,98504,,360-786-7620
State Representative,Mary Dye,432 John L O’Brien Building,PO Box 40600,Olympia,WA,98504,,360-786-7942
State Representative,Joe Schmick,426B Legislative Building,PO Box 40600,Olympia,WA,98504,,360-786-7844
